iter	Logloss
0	0.6883625257
1	0.6828086553
2	0.6773276547
3	0.6730791332
4	0.667660407
5	0.6634925731
6	0.6589679328
7	0.6542786228
8	0.650290687
9	0.6469688856
10	0.6425895096
11	0.6386889497
12	0.6344843304
13	0.631111519
14	0.6280183704
15	0.6252901501
16	0.6222321339
17	0.6188747101
18	0.6157330495
19	0.6127543054
20	0.6098420667
21	0.6066537059
22	0.6036726928
23	0.6010656153
24	0.5982410543
25	0.5957357843
26	0.5931562494
27	0.5905031977
28	0.5880704966
29	0.5853747217
30	0.5834632008
31	0.5810051626
32	0.5789534541
33	0.5766811417
34	0.574586517
35	0.5730317229
36	0.5711814344
37	0.5699512168
38	0.5678380897
39	0.5660295381
40	0.5640652515
41	0.5622837737
42	0.5609177645
43	0.5591315445
44	0.557190045
45	0.5554499084
46	0.5542105882
47	0.5522516662
48	0.5510007537
49	0.5494418688
50	0.5478601026
51	0.5462908538
52	0.5448392978
53	0.5435441397
54	0.5415052463
55	0.5404974286
56	0.5397080472
57	0.5385677461
58	0.5369534761
59	0.5359178803
60	0.5346553948
61	0.5326206626
62	0.5314232785
63	0.5303598305
64	0.5288651874
65	0.5276133195
66	0.5269172682
67	0.5257732201
68	0.5251657272
69	0.5240030176
70	0.5234072081
71	0.5224389084
72	0.5212524576
73	0.5199801977
74	0.518826353
75	0.5177028504
76	0.5170190114
77	0.515783867
78	0.5149945992
79	0.5142729588
80	0.5132805448
81	0.5127406193
82	0.5118787815
83	0.5109206126
84	0.5095087506
85	0.5086171792
86	0.5076854343
87	0.5067387919
88	0.5060135888
89	0.5050331519
90	0.504316816
91	0.503612617
92	0.5027904407
93	0.5016110756
94	0.500657497
95	0.4997785474
96	0.4989992969
97	0.4983225189
98	0.4976522604
99	0.4969838947
100	0.4964595733
101	0.4955985303
102	0.4951593523
103	0.4942932224
104	0.4936855927
105	0.4930983741
106	0.4924763926
107	0.491678849
108	0.4911605132
109	0.4900827992
110	0.4893713889
111	0.4886205011
112	0.4880055757
113	0.4873411356
114	0.4866421852
115	0.4857539285
116	0.4851077709
117	0.4847584035
118	0.4841330464
119	0.4833681379
120	0.4824734252
121	0.481881024
122	0.481287523
123	0.480752165
124	0.4798636305
125	0.4788732362
126	0.4782254928
127	0.4779084651
128	0.4772021365
129	0.4765857703
130	0.4759871455
131	0.4753616026
132	0.4745936486
133	0.4742153189
134	0.4733244615
135	0.4724245649
136	0.4719415235
137	0.4713522261
138	0.4709626701
139	0.4704878311
140	0.4701634684
141	0.4691176084
142	0.4688051762
143	0.4681867078
144	0.467825272
145	0.4674632774
146	0.4670220634
147	0.4667444078
148	0.4662646761
149	0.4657327672
150	0.465425795
151	0.4648420746
152	0.4641962143
153	0.4637301817
154	0.463464803
155	0.4631480619
156	0.4625965108
157	0.462150787
158	0.4618379558
159	0.4612653223
160	0.4608411163
161	0.4604233694
162	0.4600034146
163	0.4590826747
164	0.4587960721
165	0.4584880003
166	0.4579937359
167	0.4577064215
168	0.457409029
169	0.4571964143
170	0.4569163998
171	0.4566212195
172	0.4560062629
173	0.4558071897
174	0.4554415255
175	0.4551908407
176	0.4549170384
177	0.454479053
178	0.454211377
179	0.453763542
180	0.4534819143
181	0.4530697106
182	0.4524765231
183	0.4522685923
184	0.4518334835
185	0.4516412632
186	0.4514388737
187	0.4509508094
188	0.4506983358
189	0.4503419522
190	0.4502112574
191	0.450078269
192	0.4499840093
193	0.4495222769
194	0.4491708814
195	0.4488585574
196	0.4485490198
197	0.4481615667
198	0.447897468
199	0.4476962315
200	0.447436012
201	0.446993025
202	0.4468487097
203	0.4467778449
204	0.4464973006
205	0.4461730148
206	0.4455051421
207	0.4453857153
208	0.445228738
209	0.444967379
210	0.444744153
211	0.4441601461
212	0.4438356425
213	0.4435923599
214	0.443357007
215	0.4429020707
216	0.4424569132
217	0.442361634
218	0.441999147
219	0.4417702488
220	0.4413470283
221	0.4410298039
222	0.4408281138
223	0.440573367
224	0.4404493511
225	0.4402831274
226	0.4394345122
227	0.4392982125
228	0.438900254
229	0.4386760381
230	0.4383780952
231	0.4381640995
232	0.4378694686
233	0.4372281095
234	0.4370117785
235	0.4366888455
236	0.4362060303
237	0.435927691
238	0.4357772059
239	0.4354929661
240	0.4348685676
241	0.4346005398
242	0.4341014117
243	0.4339014354
244	0.433645509
245	0.4333177919
246	0.4332189067
247	0.4330647125
248	0.4325826961
249	0.4323661193
250	0.4321247025
251	0.4320004394
252	0.4316997099
253	0.431179217
254	0.4310148528
255	0.4304385833
256	0.4300882146
257	0.4298552111
258	0.4295870199
259	0.4294545641
260	0.4292706837
261	0.4288679931
262	0.428142513
263	0.427815446
264	0.4273675051
265	0.4270648137
266	0.426945501
267	0.4267234828
268	0.4264412689
269	0.4263855567
270	0.4260494814
271	0.4259634859
272	0.4258365217
273	0.4257464739
274	0.4254891375
275	0.4251738407
276	0.4250280058
277	0.4243671058
278	0.4237687258
279	0.4235529604
280	0.4231616428
281	0.423035301
282	0.4228498827
283	0.4224358649
284	0.4222017843
285	0.4216848351
286	0.421624214
287	0.421423689
288	0.4212442249
289	0.4211213434
290	0.420891164
291	0.4206262561
292	0.4205759342
293	0.4203148971
294	0.420084235
295	0.419917471
296	0.4195894617
297	0.4194689876
298	0.4191757239
299	0.4189870769
300	0.4187599088
301	0.4185058588
302	0.4184091199
